"","OTU0017","OTU0033","OTU0037","OTU0041","OTU0042","OTU0044","OTU0062","OTU0129","OTU0141","OTU0143","OTU0148","OTU0162","OTU0167","OTU0180","OTU0200","OTU0205","OTU0208","OTU0239","OTU0248","OTU0297","OTU0300","OTU0301","OTU0302","OTU0305","OTU0307","OTU0309","OTU0311","OTU0314","OTU0317","OTU0318","OTU0322","OTU0324","OTU0327","OTU0329","OTU0331","OTU0336","OTU0344","OTU0345","OTU0348","OTU0354","OTU0355","OTU0366","OTU0369","OTU0396","OTU0405","OTU0427","OTU0430","OTU0436","OTU0447","OTU0482","OTU0495","OTU0502","OTU0504","OTU0506","OTU0512","OTU0514","OTU0534","OTU0555","OTU0556","OTU0563","OTU0587","OTU0588","OTU0593","OTU0594","OTU0617","OTU0634","OTU0649","OTU0672","OTU0689","OTU0697","OTU0712","OTU0736","OTU0774","OTU0782","OTU0784","OTU0785","OTU0811","OTU0818","OTU0820","OTU0830","OTU0831","OTU0844","OTU0846","OTU0848","OTU0851","OTU0852","OTU0853","OTU0864","OTU0885","OTU0889","OTU0891","OTU0910","OTU0911","OTU0913","OTU0916","OTU0917","OTU0919","OTU0921","OTU0928","OTU0943","OTU0958","OTU0961","OTU0965","OTU0972","OTU0995","OTU0996","OTU0997","OTU1000","OTU1006","OTU1007","OTU1009","OTU1040","OTU1043","OTU1044","OTU1045","OTU1046","OTU1071","OTU1082","OTU1083","OTU1091","OTU1099","OTU1105","OTU1108","OTU1128","OTU1131","OTU1136","OTU1139","OTU1140","OTU1141","OTU1145","OTU1149","OTU1150","OTU1167","OTU1272","OTU1273","OTU1282","OTU1294","OTU1325","OTU1337","OTU1341","OTU1345","OTU1346","OTU1348","OTU1350","OTU1354","OTU1357","OTU1359"
"MB072.FU3",-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,0.825217935603692,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,1.33604355936968,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,1.33604355936968,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,0.419752827495528,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,6.02555489379152,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,0.419752827495528,1.9238302242718,3.83747951110889,-0.273394353064418,0.419752827495528,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,3.33752355957981,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,0.825217935603692,-0.273394353064418,-0.273394353064418,6.30863078582841,-0.273394353064418,0.825217935603692,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,1.11290000805547,-0.273394353064418,-0.273394353064418,-0.273394353064418,2.8176481002939,-0.273394353064418,-0.273394353064418,1.33604355936968,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,0.825217935603692,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,1.33604355936968,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418,-0.273394353064418
"MB072.FU4",-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,0.708875596434367,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,2.00815858056463,-0.389736692233743,-0.389736692233743,-0.389736692233743,1.21970122020036,3.46041090947632,-0.389736692233743,-0.389736692233743,0.303410488326203,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,0.303410488326203,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,1.55617345682157,-0.389736692233743,-0.389736692233743,1.40202277699431,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,1.21970122020036,-0.389736692233743,-0.389736692233743,-0.389736692233743,0.708875596434367,-0.389736692233743,4.66650911311457,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,0.996557668886148,0.996557668886148,1.21970122020036,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,3.59924735433053,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,6.49577297780107,-0.389736692233743,3.13662383238242,0.303410488326203,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,3.22118122041048,-0.389736692233743,-0.389736692233743,-0.389736692233743,3.59924735433053,-0.389736692233743,-0.389736692233743,1.40202277699431,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,0.708875596434367,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,0.303410488326203,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,-0.389736692233743,0.303410488326203,-0.389736692233743,-0.389736692233743,1.21970122020036,-0.389736692233743,0.303410488326203,-0.389736692233743,-0.389736692233743,-0.389736692233743,1.40202277699431,-0.389736692233743
"MB072.FU5",-0.579189115821054,0.807105245298837,-0.579189115821054,0.519423172847056,-0.579189115821054,0.807105245298837,2.12886108528116,0.519423172847056,-0.579189115821054,-0.579189115821054,-0.579189115821054,0.519423172847056,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,1.212570353407,0.807105245298837,-0.579189115821054,-0.579189115821054,1.50025242585878,2.51185333753726,-0.579189115821054,-0.579189115821054,0.113958064738892,1.212570353407,-0.579189115821054,-0.579189115821054,-0.579189115821054,0.113958064738892,-0.579189115821054,-0.579189115821054,0.113958064738892,0.113958064738892,-0.579189115821054,0.113958064738892,-0.579189115821054,-0.579189115821054,1.03024879661305,-0.579189115821054,-0.579189115821054,-0.579189115821054,0.113958064738892,1.50025242585878,-0.579189115821054,0.113958064738892,0.113958064738892,-0.579189115821054,-0.579189115821054,-0.579189115821054,2.59886471452689,-0.579189115821054,-0.579189115821054,0.113958064738892,0.113958064738892,0.519423172847056,-0.579189115821054,-0.579189115821054,-0.579189115821054,1.36672103323426,-0.579189115821054,3.94259946122799,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,1.61803546151517,4.19149550864461,1.212570353407,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,0.113958064738892,-0.579189115821054,2.59886471452689,-0.579189115821054,0.113958064738892,-0.579189115821054,-0.579189115821054,1.72339597717299,-0.579189115821054,0.519423172847056,6.12767322078169,-0.579189115821054,2.63968670904715,-0.579189115821054,-0.579189115821054,0.113958064738892,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,0.113958064738892,-0.579189115821054,4.32608566261738,-0.579189115821054,-0.579189115821054,0.113958064738892,2.67890742220043,-0.579189115821054,0.807105245298837,0.113958064738892,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,0.113958064738892,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,0.519423172847056,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,2.8220082658411,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,-0.579189115821054,0.113958064738892,-0.579189115821054
"MB072.FU6",-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,0.229415418216788,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,3.3204578715751,-0.463731762343157,-0.463731762343157,-0.463731762343157,1.14570615009094,4.07956301992685,-0.463731762343157,-0.463731762343157,1.3280277068849,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,1.14570615009094,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,0.922562598776734,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,1.3280277068849,-0.463731762343157,-0.463731762343157,-0.463731762343157,2.42663999555301,1.61570977933668,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,4.75120399526583,0.229415418216788,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,2.1753255672721,1.61570977933668,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,0.229415418216788,-0.463731762343157,2.02117488744484,-0.463731762343157,0.634880526324953,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,6.18654728624426,-0.463731762343157,2.36948158171306,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,3.95510884545344,-0.463731762343157,-0.463731762343157,-0.463731762343157,4.19022858781437,0.634880526324953,-0.463731762343157,2.937465619319,-0.463731762343157,-0.463731762343157,0.229415418216788,-0.463731762343157,0.634880526324953,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,0.229415418216788,0.229415418216788,-0.463731762343157,-0.463731762343157,-0.463731762343157,0.229415418216788,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,-0.463731762343157,0.922562598776734,-0.463731762343157,0.229415418216788,-0.463731762343157,-0.463731762343157,0.229415418216788,0.922562598776734,-0.463731762343157
"MB072.FU7",-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,4.64785325206242,0.443160632671459,-0.655451655996651,-0.655451655996651,2.56342416887155,5.72805497888735,-0.655451655996651,-0.655451655996651,-0.655451655996651,0.73084270512324,-0.655451655996651,0.443160632671459,-0.655451655996651,0.95398625643745,-0.655451655996651,-0.655451655996651,0.443160632671459,0.0376955245632943,0.443160632671459,-0.655451655996651,2.43559079736167,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,0.0376955245632943,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,0.0376955245632943,-0.655451655996651,1.29045849305866,-0.655451655996651,-0.655451655996651,-0.655451655996651,1.90949770146489,1.82945499379135,-0.655451655996651,-0.655451655996651,-0.655451655996651,0.0376955245632943,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,0.443160632671459,-0.655451655996651,0.73084270512324,1.82945499379135,1.42398988568318,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,2.23492010189951,0.0376955245632943,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,0.73084270512324,-0.655451655996651,1.54177292133957,4.48034678105361,-0.655451655996651,2.34028061755734,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,1.42398988568318,0.0376955245632943,-0.655451655996651,4.32128208642392,-0.655451655996651,0.0376955245632943,-0.655451655996651,1.1363078132314,1.90949770146489,-0.655451655996651,2.05259854510556,-0.655451655996651,-0.655451655996651,2.87090886861951,0.0376955245632943,1.64713343699739,-0.655451655996651,1.54177292133957,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,1.1363078132314,1.1363078132314,1.42398988568318,-0.655451655996651,-0.655451655996651,-0.655451655996651,1.1363078132314,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,-0.655451655996651,0.0376955245632943,-0.655451655996651,-0.655451655996651,2.52260217435129,-0.655451655996651,0.443160632671459,-0.655451655996651,-0.655451655996651,-0.655451655996651,1.54177292133957,-0.655451655996651
"MB072.FU8",0.405772259900381,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,0.405772259900381,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,4.04335841962677,1.50438454856849,-0.287374920659564,-0.287374920659564,0.811237368008546,6.06351079605518,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,0.405772259900381,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,1.09891944046033,0.405772259900381,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,5.01094244588847,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,0.405772259900381,2.19753172912844,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,0.405772259900381,5.39620484667912,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,0.405772259900381,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,5.21388328988516,0.405772259900381,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,0.405772259900381,-0.287374920659564,-0.287374920659564,-0.287374920659564,0.405772259900381,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,-0.287374920659564,0.405772259900381,-0.287374920659564,-0.287374920659564,-0.287374920659564,0.405772259900381,-0.287374920659564
"MB072.FU9",-0.553179302173659,-0.553179302173659,0.139967878386286,0.545432986494451,-0.553179302173659,0.139967878386286,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,4.02153167632972,-0.553179302173659,-0.553179302173659,-0.553179302173659,0.545432986494451,-0.553179302173659,-0.553179302173659,-0.553179302173659,1.2385801670544,1.2385801670544,-0.553179302173659,-0.553179302173659,-0.553179302173659,5.25796169080304,-0.553179302173659,-0.553179302173659,-0.553179302173659,2.33719245572251,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,0.545432986494451,0.139967878386286,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,0.139967878386286,-0.553179302173659,1.52626223950618,1.74940579082039,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,0.833115058946232,2.39125967699278,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,0.139967878386286,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,0.139967878386286,-0.553179302173659,0.139967878386286,0.833115058946232,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,2.66569652269454,2.28003404188256,-0.553179302173659,3.35884370325449,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,4.82209910551051,-0.553179302173659,0.833115058946232,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,0.833115058946232,1.2385801670544,2.15487089892855,-0.553179302173659,-0.553179302173659,-0.553179302173659,5.65137846039503,-0.553179302173659,0.545432986494451,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,0.139967878386286,0.833115058946232,0.545432986494451,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,1.93172734761434,-0.553179302173659,0.833115058946232,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,0.139967878386286,-0.553179302173659,0.545432986494451,-0.553179302173659,-0.553179302173659,-0.553179302173659,1.2385801670544,-0.553179302173659,1.93172734761434,0.545432986494451,-0.553179302173659,-0.553179302173659,-0.553179302173659,-0.553179302173659,0.139967878386286,0.833115058946232
"MB074.FU4",-0.686802188864351,0.00634499169559388,0.922635723569749,0.411810099803758,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,0.00634499169559388,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,0.699492172255539,1.25910796019096,-0.686802188864351,-0.686802188864351,-0.686802188864351,2.83955833575181,-0.686802188864351,-0.686802188864351,-0.686802188864351,3.79053462561386,0.411810099803758,-0.686802188864351,1.79810446092365,-0.686802188864351,-0.686802188864351,1.25910796019096,3.75584906762597,2.08578653337543,0.00634499169559388,-0.686802188864351,1.1049572803637,-0.686802188864351,2.14641115519186,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,0.00634499169559388,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,2.60903467713998,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,0.00634499169559388,-0.686802188864351,0.699492172255539,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,0.411810099803758,1.71109308393402,1.95225514075091,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,1.25910796019096,-0.686802188864351,0.00634499169559388,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,3.44033219618074,2.83955833575181,-0.686802188864351,5.3793059012394,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,0.00634499169559388,1.79810446092365,0.411810099803758,0.922635723569749,1.25910796019096,-0.686802188864351,4.33707833198193,-0.686802188864351,1.25910796019096,1.95225514075091,-0.686802188864351,0.699492172255539,0.699492172255539,0.411810099803758,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,0.00634499169559388,0.00634499169559388,1.1049572803637,-0.686802188864351,-0.686802188864351,-0.686802188864351,0.411810099803758,1.51042238847187,0.00634499169559388,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,1.1049572803637,0.00634499169559388,-0.686802188864351,-0.686802188864351,1.51042238847187,-0.686802188864351,5.05620099894513,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351,-0.686802188864351
"MB074.FU5",-0.660826287683472,0.0323208928764732,1.7370689851149,0.437786000984638,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,0.948611624750628,-0.660826287683472,-0.660826287683472,-0.660826287683472,3.36452540305168,-0.660826287683472,-0.660826287683472,-0.660826287683472,2.97675987204291,0.725468073436419,0.0323208928764732,1.41861525399636,-0.660826287683472,-0.660826287683472,1.13093318154458,3.346506897549,0.437786000984638,-0.660826287683472,-0.660826287683472,0.725468073436419,-0.660826287683472,2.55804953718473,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,1.41861525399636,-0.660826287683472,-0.660826287683472,-0.660826287683472,0.437786000984638,0.0323208928764732,1.13093318154458,-0.660826287683472,0.725468073436419,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,0.0323208928764732,0.0323208928764732,3.87177320546978,2.92269265077264,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,0.437786000984638,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,2.80490961511625,4.34980900641278,-0.660826287683472,4.99865592807615,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,1.13093318154458,-0.660826287683472,0.725468073436419,0.437786000984638,-0.660826287683472,2.63501057832086,-0.660826287683472,0.948611624750628,1.90412306977806,4.88435115679609,-0.660826287683472,1.28508386137184,0.948611624750628,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,0.0323208928764732,0.725468073436419,-0.660826287683472,-0.660826287683472,-0.660826287683472,1.13093318154458,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,0.0323208928764732,-0.660826287683472,-0.660826287683472,-0.660826287683472,0.948611624750628,0.948611624750628,-0.660826287683472,0.0323208928764732,0.0323208928764732,-0.660826287683472,4.86063463017877,0.0323208928764732,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472,-0.660826287683472
"MB074.FU6",-0.635050992801029,0.974386919633072,2.69715351737418,0.974386919633072,-0.635050992801029,0.463561295867081,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,0.751243368318862,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,0.463561295867081,0.463561295867081,-0.635050992801029,-0.635050992801029,0.974386919633072,3.19359040368807,-0.635050992801029,-0.635050992801029,-0.635050992801029,3.5080837335905,0.463561295867081,-0.635050992801029,2.40947144492239,-0.635050992801029,-0.635050992801029,-0.635050992801029,3.35393305376325,1.76284427999734,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,3.56964162658994,-0.635050992801029,-0.635050992801029,-0.635050992801029,0.0580961877589165,1.31085915625428,-0.635050992801029,0.0580961877589165,-0.635050992801029,-0.635050992801029,0.751243368318862,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,0.751243368318862,2.25532076509514,-0.635050992801029,-0.635050992801029,-0.635050992801029,0.0580961877589165,-0.635050992801029,3.81929630345248,-0.635050992801029,0.974386919633072,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,2.00400633681423,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,2.50044322312812,4.70248708690029,-0.635050992801029,0.974386919633072,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,0.463561295867081,-0.635050992801029,1.44439054887881,-0.635050992801029,0.463561295867081,2.19816235125519,2.25532076509514,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,0.0580961877589165,-0.635050992801029,-0.635050992801029,0.974386919633072,-0.635050992801029,-0.635050992801029,-0.635050992801029,1.31085915625428,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,0.0580961877589165,-0.635050992801029,-0.635050992801029,-0.635050992801029,1.31085915625428,0.974386919633072,-0.635050992801029,0.751243368318862,2.36068128075296,-0.635050992801029,5.81541942934315,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029,-0.635050992801029
