"","OTU0017","OTU0033","OTU0037","OTU0041","OTU0042","OTU0044","OTU0062","OTU0129","OTU0141","OTU0143","OTU0148","OTU0162","OTU0167","OTU0180","OTU0200","OTU0205","OTU0208","OTU0239","OTU0248","OTU0297","OTU0300","OTU0301","OTU0302","OTU0305","OTU0307","OTU0309","OTU0311","OTU0314","OTU0317","OTU0318","OTU0322","OTU0324","OTU0327","OTU0329","OTU0331","OTU0336","OTU0344","OTU0345","OTU0348","OTU0354","OTU0355","OTU0366","OTU0369","OTU0396","OTU0405","OTU0427","OTU0430","OTU0436","OTU0447","OTU0482","OTU0495","OTU0502","OTU0504","OTU0506","OTU0512","OTU0514","OTU0534","OTU0555","OTU0556","OTU0563","OTU0587","OTU0588","OTU0593","OTU0594","OTU0617","OTU0634","OTU0649","OTU0672","OTU0689","OTU0697","OTU0712","OTU0736","OTU0774","OTU0782","OTU0784","OTU0785","OTU0811","OTU0818","OTU0820","OTU0830","OTU0831","OTU0844","OTU0846","OTU0848","OTU0851","OTU0852","OTU0853","OTU0864","OTU0885","OTU0889","OTU0891","OTU0910","OTU0911","OTU0913","OTU0916","OTU0917","OTU0919","OTU0921","OTU0928","OTU0943","OTU0958","OTU0961","OTU0965","OTU0972","OTU0995","OTU0996","OTU0997","OTU1000","OTU1006","OTU1007","OTU1009","OTU1040","OTU1043","OTU1044","OTU1045","OTU1046","OTU1071","OTU1082","OTU1083","OTU1091","OTU1099","OTU1105","OTU1108","OTU1128","OTU1131","OTU1136","OTU1139","OTU1140","OTU1141","OTU1145","OTU1149","OTU1150","OTU1167","OTU1272","OTU1273","OTU1282","OTU1294","OTU1325","OTU1337","OTU1341","OTU1345","OTU1346","OTU1348","OTU1350","OTU1354","OTU1357","OTU1359"
"MB072.FU3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,543,0,0,0,0,0,0,0,0,1,8,60,0,1,0,0,0,0,0,0,36,0,0,0,0,2,0,0,721,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"MB072.FU4",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,4,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,2,0,156,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,977,0,33,1,0,0,0,0,0,0,0,0,0,36,0,0,0,53,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,5,0
"MB072.FU5",0,3,0,2,0,3,14,2,0,0,0,2,0,0,0,0,0,0,0,5,3,0,0,7,21,0,0,1,5,0,0,0,1,0,0,1,1,0,1,0,0,4,0,0,0,1,7,0,1,1,0,0,0,23,0,0,1,1,2,0,0,0,6,0,91,0,0,0,0,0,0,0,0,8,117,5,0,0,0,0,0,0,1,0,23,0,1,0,0,9,0,2,817,0,24,0,0,1,0,0,0,0,0,1,0,134,0,0,1,25,0,3,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0
"MB072.FU6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,0,0,0,4,93,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,17,7,0,0,0,0,0,183,1,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,1,0,11,0,2,0,0,0,0,0,772,0,16,0,0,0,0,0,0,0,0,0,0,82,0,0,0,104,2,0,29,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,3,0
"MB072.FU7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,0,0,24,591,0,0,0,3,0,2,0,4,0,0,2,1,2,0,21,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,12,11,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,11,7,0,0,0,0,0,17,1,0,0,0,0,0,0,3,0,8,169,0,19,0,0,0,0,0,0,0,7,1,0,144,0,1,0,5,12,0,14,0,0,33,1,9,0,8,0,0,0,0,5,5,7,0,0,0,5,0,0,0,0,0,1,0,0,23,0,2,0,0,0,8,0
"MB072.FU8",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75,5,0,0,2,572,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,1,293,0,0,0,0,0,0,0,1,0,0,0,0,244,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"MB072.FU9",0,0,1,2,0,1,0,0,0,0,0,96,0,0,0,2,0,0,0,5,5,0,0,0,333,0,0,0,17,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,7,9,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,24,16,0,49,0,0,0,0,0,0,0,0,215,0,3,0,0,0,0,3,5,14,0,0,0,494,0,2,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,11,0,3,0,0,0,0,1,0,2,0,0,0,5,0,11,2,0,0,0,0,1,3
"MB074.FU4",0,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,0,0,33,0,0,0,87,2,0,11,0,0,6,84,15,1,0,5,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,10,13,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,61,33,0,430,0,0,0,0,1,11,2,4,6,0,151,0,6,13,0,3,3,2,0,0,0,0,1,1,5,0,0,0,2,8,1,0,0,0,0,0,0,0,5,1,0,0,8,0,311,0,0,0,0,0,0,0
"MB074.FU5",0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,55,0,0,0,37,3,1,7,0,0,5,54,2,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,5,0,3,0,0,0,0,0,1,1,92,35,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,31,149,0,286,0,0,0,0,0,5,0,3,2,0,26,0,4,12,255,0,6,4,0,0,0,0,0,1,3,0,0,0,5,0,0,0,0,0,1,0,0,0,4,4,0,1,1,0,249,1,0,0,0,0,0,0
"MB074.FU6",0,4,27,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,4,45,0,0,0,62,2,0,20,0,0,0,53,10,0,0,0,0,66,0,0,0,1,6,0,1,0,0,3,0,0,0,0,0,3,17,0,0,0,1,0,85,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,22,207,0,4,0,0,0,0,0,0,0,0,2,0,7,0,2,16,17,0,0,0,0,0,0,1,0,0,4,0,0,0,6,0,0,0,0,0,1,0,0,0,6,4,0,3,19,0,632,0,0,0,0,0,0,0
